Name,Cleaned Domain,Phone Number,Address,Keywords
New Latitude Movers,newlatitudemovers.com,2058553737,"130 Industrial Drive, Birmingham, AL, 35211","['Movers', 'Relocation Service']"
Oakdale Moving & Storage,N/A,8446814827,Serving the Birmingham Area,"['Movers', 'Movers-Commercial & Industrial', 'Movers & Full Service Storage']"
AIR 7 SEAS Transport Logistics Inc,air7seas.com,8884048124,Serving the Birmingham Area,"['Movers', 'Customs Consultants', 'Moving Services-Labor & Materials']"
We Will Transport It,wewilltransportit.com,8443157733,Serving the Birmingham Area,"['Movers', 'Boat Equipment & Supplies', 'Transportation Services']"
Good Moves Moving Systems Inc,N/A,2054108527,"5821 Walnut Grove Rd, Birmingham, AL, 35215","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"American Eagle Moving & Transport, LLC",americaneaglemovingusa.com,2056232150,"5511 Highway 280, Birmingham, AL, 35242","['Movers', 'Movers & Full Service Storage', 'Local Trucking Service']"
Apartment Movers,N/A,2059252133,"Birmingham, AL, 35211",['Movers']
Coleman Worldwide Moving,colemanallied.com,2059420009,"2120A Montevallo Rd SW, Birmingham, AL, 35211","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"A Wise Move, Inc.",N/A,2052764416,"4500 5th Ave S Ste D, Birmingham, AL, 35222","['Movers', 'Moving Services-Labor & Materials', 'Storage Household & Commercial']"
Moving Help,movinghelp.com,2056233606,"53 18th Ave S, Birmingham, AL, 35205",['Movers']
Moving Help,movinghelp.com,2056233611,"2710 Oxmoor Glen Dr, Birmingham, AL, 35211",['Movers']
Jackson Moving Co,jacksonmoving.com,2058337263,"816 Sundale Dr, Birmingham, AL, 35235","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
New Latitude Movers,newlatitudemovers.com,2059889000,"100 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Moving Services-Labor & Materials', 'Storage Household & Commercial']"
Hawkins Transfer,N/A,2057905997,"1101 28th St S, Birmingham, AL, 35205",['Movers']
All My Sons Moving & Storage of Birmingham,N/A,2055642704,"131 W Oxmoor Rd Ste 131, Birmingham, AL, 35209","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
McCorquodale Transfer,mtmoves.com,2058707474,"2714 2nd Ave N, Birmingham, AL, 35203","['Movers', 'Storage Household & Commercial']"
"Park Transfer & Storage, Inc.",N/A,2053450311,"802 41st St N, Birmingham, AL, 35212","['Movers', 'Relocation Service']"
Side Movers,N/A,2055203430,"29 Center Pl S, Birmingham, AL, 35205",['Movers']
Coleman American Moving Service,colemanallied.com,2059420009,"2120 Montevallo Rd SW, Birmingham, AL, 35211","['Movers', 'Trucking', 'Storage Household & Commercial']"
Alliance Movers Birmingham,alliancemoversgroup.com,2054193400,"25 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Relocation Service', 'Piano & Organ Moving']"
Liberty Moving,libertymovingal.com,2052760745,"100 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Moving Services-Labor & Materials', 'House & Building Movers & Raising']"
Alabama Storage,uhaul.com,2056081103,"1588 Carson Rd N, Birmingham, AL, 35217",['Movers']
Budget Movers,bmover.com,2059429477,"1520 Southern Dr, Birmingham, AL, 35242",['Movers']
