Name,Cleaned Domain,Phone Number,Address,Keywords
Blue Chip Building Maintenance Inc,bluechipclean.com,2125640100,"242 W 30th St Rm 700, New York, NY, 10001","['Carpet & Rug Cleaners', 'Janitorial Service', 'Floor Waxing, Polishing & Cleaning']"
Delmont Carpet Cleaning Inc,delmontcleanny.com,9292434945,"1636 3rd Ave, New York, NY, 10128","['Carpet & Rug Cleaners', 'Upholstery Cleaners', 'House Cleaning']"
All Pro Cleaning & Restoration,allprorestoration.com,9143726244,"13 Haven St, Elmsford, NY, 10523","['Carpet & Rug Cleaners', 'Cleaning Contractors', 'Restaurant Cleaning']"
Delmont Carpet Cleaning Inc,api.superpages.com,6464026590,"New York, NY, 10128",['Carpet & Rug Cleaners']
Cleantex - New York,cleantexny.com,2122831200,"3711 48th Ave, Long Island City, NY, 11101","['Carpet & Rug Cleaners', 'Cleaning Contractors', 'Upholstery Cleaners']"
Green Rug Cleaners,N/A,8002514264,"105 E 34th St, New York, NY, 10016","['Carpet & Rug Cleaners', 'Upholstery Cleaners', 'Cleaning Contractors']"
Duraclean Home Services,duraclean.com,2122884890,"245 E 77th St Frnt 1, New York, NY, 10075","['Carpet & Rug Cleaners', 'Furniture Cleaning & Fabric Protection', 'Industrial Cleaning']"
New York Carpet Cleaning Service,nyccarpetclean.com,3472864044,"342 Broadway, New York, NY, 10013",['Carpet & Rug Cleaners']
All Fine Clean,N/A,2124797767,"151 W 88th St, New York, NY, 10024",['Carpet & Rug Cleaners']
City Carpet Upholstery Care,bpcarpetcleaning.com,2127415200,"339 E 104th St, New York, NY, 10029","['Carpet & Rug Cleaners', 'Carpet & Rug Repair', 'Janitorial Service']"
Stanley Steam Carpet Cleaner,N/A,2127226434,"2413 2nd Ave, New York, NY, 10035",['Carpet & Rug Cleaners']
My Home Carpet Cleaning NYC,carpetcleaningnyc.com,2126580618,"460 Park Ave S, New York, NY, 10016",['Carpet & Rug Cleaners']
Shield Cleaning Co.,forshieldcleaning.com,2123727160,"295 Greenwich St, New York, NY, 10007","['Carpet & Rug Cleaners', 'Building Cleaners-Interior', 'Janitorial Service']"
Oriental Area Rug Cleaning,orientalarearugcleaning.com,7186142697,"166 E 34th St, New York, NY, 10016","['Carpet & Rug Cleaners', 'Carpet & Rug Dealers', 'Upholstery Cleaners']"
212 Carpet Cleaners,N/A,9174805941,"119 Christopher st, New York, NY, 10014",['Carpet & Rug Cleaners']
Flood Control,N/A,6467972022,"445 W 23rd St Ste 1d, New York, NY, 10011","['Carpet & Rug Cleaners', 'Heating Contractors & Specialties', 'Furnace Repair & Cleaning']"
B&Y Rug Cleaning of NYC,b-y-rugcleaning.com,2123591627,"352 7th Ave, New York, NY, 10001",['Carpet & Rug Cleaners']
Brielle's Rug Cleaning,briellesrugcleaning.com,8005189648,"424 Park Ave, New York, NY, 10022",['Carpet & Rug Cleaners']
Duro Carpet Corp,N/A,2124758864,"341 1st Ave, New York, NY, 10003","['Carpet & Rug Cleaners', 'Floor Materials', 'Carpet & Rug Dealers']"
Carpet Cleaners New York,carpet-cleaners-new-york.com,6464725108,"55 Ann St, New York, NY, 10038",['Carpet & Rug Cleaners']
Advance Carpet Cleaning,N/A,6466062008,"139 Fulton St, New York, NY, 10038",['Carpet & Rug Cleaners']
Carpet Cleaning New York City,carpetcleaning-newyorkcity.com,9172000650,"251 E 10th St, New York, NY, 10009",['Carpet & Rug Cleaners']
Traditional Rug Cleaners,N/A,8886694763,"279 W 19th St, New York, NY, 10011","['Carpet & Rug Cleaners', 'Carpet & Rug Cleaners-Water Extraction', 'Carpet & Rug Repair']"
Rug Renovating,rugrenovating.com,2129240189,"137 West 25th Street 12th floor #A, New York, NY, 10001",['Carpet & Rug Cleaners']
